grade,sensor,short_name,level,format,daac,s3_region,consolidated_md,grid_aligned,chunk_aligned,time_dim,chunk_shape,chunk_mb,n_granules,volume_tb,dmrpp,blocker,chunk_shape_stable,concat_ok,cf_stable,headline_var,n_data_vars,n_comparable_vars,chunk_evidence,concat_evidence,md_evidence,grid_evidence,size_evidence,time_evidence,sample_differs,pinned_to,difference_kept_because,orbit_dirs,n_probed,n_attempted,n_sampled,unopened
B,TEMPO,TEMPO_NO2_L3,L3,netCDF-4,NASA/LARC/SD/ASDC,us-west-2,no,yes,yes,yes,1×738×1938,1.068,17074,12.662,yes,"P-md: median 50 blocks in 46 runs, 4% leading",yes,yes,yes,product/vertical_column_stratosphere,36,36,one chunk shape per variable across 36 variables in 4 granules,granule shapes identical; concatenates on a new or length-one axis,"median 50 blocks in 46 runs, 4% leading",identical grid across granules — measured latitude/longitude on 2 granules; step 0.02,product/vertical_column_stratosphere: median stored chunk 1.068 MB in 16 chunks,"dimension ""time""","S001, S002, S003, S004",,the scan number is the time step; every scan is the same CONUS grid,,4,4,4,
B,Terra+Aqua/MODIS,MCD43A3,L3,HDF-EOS2,LP DAAC,us-west-2,—,—,—,no,100×2400,0.218,2981668,291.993,no,"P-md: not measured (parser bypasses the instrumented reader); G: no projection attribute or spatial coordinate array reached the probe, so the grid is unmeasured, not absent; T: no time dimension",yes,yes,yes,Albedo_BSA_Band1,30,30,one chunk shape per variable across 30 variables in 4 granules,granule shapes identical; concatenates on a new or length-one axis,not measured (parser bypasses the instrumented reader),"no projection attribute or spatial coordinate array reached the probe, so the grid is unmeasured, not absent",Albedo_BSA_Band1: median stored chunk 0.218 MB in 24 chunks,no time dimension,,sinusoidal tile h08v05,,,4,4,4,
B,Terra/MODIS,MOD021KM,L1B,NetCDF-4,NASA/GSFC/SED/ESD/HBSL/BISB/LAADS,us-west-2,partial,no,—,no,6×2030×1354,17.82,2757014,164.393,no,T: no time dimension,yes,yes,yes,HDFEOS/SWATHS/MODIS_SWATH_Type_L1B/Data Fields/EV_1KM_Emissive,37,37,one chunk shape per variable across 37 variables in 4 granules,granule shapes identical; concatenates on a new or length-one axis,"median 5 blocks in 4 runs, 20% leading","swath geometry: no projected grid, geolocation is a per-pixel array",HDFEOS/SWATHS/MODIS_SWATH_Type_L1B/Data Fields/EV_1KM_Emissive: median stored chunk 17.82 MB in 3 chunks,no time dimension,,,,,4,4,4,
B,Terra/MODIS,MOD10A1,L3,HDF-EOS2,NASA NSIDC DAAC,us-west-2,—,—,—,no,2400×2400,NaN,2927249,21.037,no,"H2: one chunk shape per variable across 7 variables in 4 granules, but each granule is one chunk spanning its whole array, which pins the cube's chunk shape to these exact dimensions, and the grid went unmeasured, so whether every granule carries these dimensions is unestablished rather than observed; P-sz: NDSI: no stored chunk length the format could produce, so the parser did not record one; P-md: not measured (parser bypasses the instrumented reader); G: no projection attribute or spatial coordinate array reached the probe, so the grid is unmeasured, not absent; T: no time dimension",partial,yes,yes,NDSI,7,7,"one chunk shape per variable across 7 variables in 4 granules, but each granule is one chunk spanning its whole array, which pins the cube's chunk shape to these exact dimensions, and the grid went unmeasured, so whether every granule carries these dimensions is unestablished rather than observed",granule shapes identical; concatenates on a new or length-one axis,not measured (parser bypasses the instrumented reader),"no projection attribute or spatial coordinate array reached the probe, so the grid is unmeasured, not absent","NDSI: no stored chunk length the format could produce, so the parser did not record one",no time dimension,,sinusoidal tile h08v05,,,4,4,4,
B,Terra/MODIS,MOD11A1,L3,HDF-EOS2,LP DAAC,us-west-2,—,—,—,no,1200×1200,0.78,3044695,11.149,yes,"H2: one chunk shape per variable across 12 variables in 4 granules, but each granule is one chunk spanning its whole array, which pins the cube's chunk shape to these exact dimensions, and the grid went unmeasured, so whether every granule carries these dimensions is unestablished rather than observed; P-md: not measured (parser bypasses the instrumented reader); G: no projection attribute or spatial coordinate array reached the probe, so the grid is unmeasured, not absent; T: ""day_view_time_x"" is declared by one array only, so it is a per-array name rather than a shared time dimension",partial,yes,yes,Clear_day_cov,12,12,"one chunk shape per variable across 12 variables in 4 granules, but each granule is one chunk spanning its whole array, which pins the cube's chunk shape to these exact dimensions, and the grid went unmeasured, so whether every granule carries these dimensions is unestablished rather than observed",granule shapes identical; concatenates on a new or length-one axis,not measured (parser bypasses the instrumented reader),"no projection attribute or spatial coordinate array reached the probe, so the grid is unmeasured, not absent",Clear_day_cov: median stored chunk 0.78 MB in 1 chunks,"""day_view_time_x"" is declared by one array only, so it is a per-array name rather than a shared time dimension",,sinusoidal tile h08v05,,,4,4,4,
B,Terra/MODIS,MOD13Q1,L3,HDF-EOS2,LP DAAC,us-west-2,—,—,—,no,1×4800,0.006,177776,38.462,yes,"P-md: not measured (parser bypasses the instrumented reader); G: no projection attribute or spatial coordinate array reached the probe, so the grid is unmeasured, not absent; T: no time dimension; P-sz: 250m 16 days EVI: median stored chunk 0.006 MB in 4800 chunks — latency-bound",yes,yes,yes,250m 16 days EVI,12,12,one chunk shape per variable across 12 variables in 4 granules,granule shapes identical; concatenates on a new or length-one axis,not measured (parser bypasses the instrumented reader),"no projection attribute or spatial coordinate array reached the probe, so the grid is unmeasured, not absent",250m 16 days EVI: median stored chunk 0.006 MB in 4800 chunks — latency-bound,no time dimension,,sinusoidal tile h08v05,,,4,4,4,
B,multi-sensor (ITS_LIVE),NSIDC-0776,L3,netCDF-4,NASA NSIDC DAAC,us-west-2,partial,yes,yes,no,1500×1500,0.224,546,0.065,no,T: no time dimension,yes,yes,yes,count,9,9,one chunk shape per variable across 9 variables in 4 granules,granule shapes identical; concatenates on a new or length-one axis,"median 6 blocks in 5 runs, 15% leading",identical grid across granules — measured x/y on 2 granules; step -120.0,count: median stored chunk 0.224 MB in 30 chunks,no time dimension,,RGI region 03A,,,4,4,4,
B,multi-sensor (MUR SST),MUR-JPL-L4-GLOB-v4.1,L4,netCDF-4,NASA/JPL/PODAAC,us-west-2,no,yes,yes,yes,1×1023×2047,0.989,8878,4.886,yes,"H2: chunk shape differs for smaller variables (2 of 6 variables — mask: [1, 1447, 2895] vs [1, 1023, 2047]); analysed_sst is stable, so a cube over it is available; P-md: median 21 blocks in 16 runs, 7% leading; S1: units differ but no attribute that changes a decoded value does, so the cube is mislabelled rather than wrong — sea_ice_fraction.units: fraction (between 0 and 1) vs ∅",partial,yes,partial,analysed_sst,6,6,"chunk shape differs for smaller variables (2 of 6 variables — mask: [1, 1447, 2895] vs [1, 1023, 2047]); analysed_sst is stable, so a cube over it is available",granule shapes identical; concatenates on a new or length-one axis,"median 21 blocks in 16 runs, 7% leading",identical grid across granules — measured lat/lon on 2 granules; step 0.009995,analysed_sst: median stored chunk 0.989 MB in 324 chunks,"dimension ""time""",,,,,4,4,4,
D,Aqua/MODIS,MODISA_L3m_CHL,L3,netCDF-4,NASA/GSFC/SED/ESD/GCDC/OB.DAAC,us-west-2,partial,yes,no,no,44×87,0.0,27028,0.288,no,"H2: chunk shape differs across granules (1 of 2 variables — chlor_a: [44, 87] vs [16, 1024])",no,yes,yes,chlor_a,2,2,"chunk shape differs across granules (1 of 2 variables — chlor_a: [44, 87] vs [16, 1024])",granule shapes identical; concatenates on a new or length-one axis,"median 11 blocks in 1 runs, 9% leading",identical grid across granules — measured lat/lon on 2 granules; step -0.041664,chlor_a: median stored chunk 0.0 MB in 6165 chunks — latency-bound,no time dimension,,daily composite at 4 km,,,4,4,4,
D,Aura/OMI,OMDOAO3,L2,netCDF-4,NASA/GSFC/SED/ESD/TISL/GESDISC,us-west-2,yes,no,no,yes,1×1644×60,0.229,113357,1.107,yes,"H2: chunk shape differs across granules (52 of 57 variables — PRODUCT/SUPPORT_DATA/DETAILED_RESULTS/air_mass_factor: [1, 1644, 60] vs [1, 1643, 60] vs [1, 1494, 60])",no,yes,yes,PRODUCT/SUPPORT_DATA/DETAILED_RESULTS/air_mass_factor,57,57,"chunk shape differs across granules (52 of 57 variables — PRODUCT/SUPPORT_DATA/DETAILED_RESULTS/air_mass_factor: [1, 1644, 60] vs [1, 1643, 60] vs [1, 1494, 60])",granule shapes identical; concatenates on a new or length-one axis,"median 1 blocks in 1 runs, 100% leading","swath geometry: no projected grid, geolocation is a per-pixel array",PRODUCT/SUPPORT_DATA/DETAILED_RESULTS/air_mass_factor: median stored chunk 0.229 MB in 1 chunks,"dimension ""product/time""",,,,,4,4,4,
