grade,sensor,short_name,level,format,daac,s3_region,consolidated_md,grid_aligned,chunk_aligned,time_dim,chunk_shape,chunk_mb,n_granules,volume_tb,dmrpp,blocker,chunk_shape_stable,concat_ok,cf_stable,headline_var,n_data_vars,n_comparable_vars,chunk_evidence,concat_evidence,md_evidence,grid_evidence,size_evidence,time_evidence,sample_differs,pinned_to,difference_kept_because,orbit_dirs,n_probed,n_attempted,n_sampled,unopened
D,SWOT/KaRIn,SWOT_L2_LR_SSH_2.0,L2,netCDF-4,NASA/JPL/PODAAC,us-west-2,partial,no,no,partial,9865×69,0.924,90959,0.911,yes,"H2: chunk shape differs across granules (23 of 23 variables — geoid: [9865, 69] vs [9866, 69])",no,yes,yes,geoid,23,23,"chunk shape differs across granules (23 of 23 variables — geoid: [9865, 69] vs [9866, 69])",granule shapes identical; concatenates on a new or length-one axis,"median 10 blocks in 1 runs, 10% leading","swath geometry: no projected grid, geolocation is a per-pixel array",geoid: median stored chunk 0.924 MB in 1 chunks,"time variable ""time"" but no time dimension","PGC0, PIC2",the Basic product file,the two processing versions are both part of the record; the product file is pinned,,4,4,4,
D,Suomi-NPP/VIIRS,VIIRSN_L3m_CHL,L3,netCDF-4,NASA/GSFC/SED/ESD/GCDC/OB.DAAC,us-west-2,partial,yes,no,no,44×87,0.001,13910,0.238,no,"H2: chunk shape differs across granules (1 of 2 variables — chlor_a: [44, 87] vs [16, 1024])",no,yes,yes,chlor_a,2,2,"chunk shape differs across granules (1 of 2 variables — chlor_a: [44, 87] vs [16, 1024])",granule shapes identical; concatenates on a new or length-one axis,"median 16 blocks in 2 runs, 6% leading",identical grid across granules — measured lat/lon on 2 granules; step -0.041664,chlor_a: median stored chunk 0.001 MB in 6165 chunks — latency-bound,no time dimension,,daily composite at 4 km,,,4,4,4,
D,TEMPO,TEMPO_NO2_L2,L2,netCDF-4,NASA/LARC/SD/ASDC,us-west-2,no,no,no,partial,123×128×72,0.237,123089,17.318,yes,"H2: chunk shape differs across granules (40 of 41 variables — support_data/gas_profile: [123, 128, 72] vs [128, 128, 72])",no,yes,yes,support_data/gas_profile,41,41,"chunk shape differs across granules (40 of 41 variables — support_data/gas_profile: [123, 128, 72] vs [128, 128, 72])",granule shapes identical; concatenates on a new or length-one axis,"median 10 blocks in 9 runs, 10% leading","swath geometry: no projected grid, geolocation is a per-pixel array",support_data/gas_profile: median stored chunk 0.237 MB in 24 chunks,"time variable ""geolocation/time"" but no time dimension","S001G01, S002G01, S003G01, S004G01",mirror step G01 of each scan,the scan number is the time step; the mirror step within a scan is pinned,,4,4,4,
F,Aqua/AIRS,AIRS2RET,L2,HDF-EOS,NASA/GSFC/SED/ESD/TISL/GESDISC,us-west-2,—,—,—,—,—,NaN,2072654,NaN,yes,H0: parser refused all 4 granules opened: HDF4 backend cannot read the HDF-EOS2 vgroup holding the data-block references,—,—,—,,0,0,no granule opened,no granule opened,not measured (parser bypasses the instrumented reader),no granule opened,no granule opened,no granule opened,,,,,0,4,4,HDF4 backend cannot read the HDF-EOS2 vgroup holding the data-block references
F,Aqua/MODIS,MYD04_L2,L2,HDF-EOS,NASA/GSFC/SED/ESD/HBSL/BISB/LAADS,us-west-2,—,—,—,—,—,NaN,1365731,NaN,no,H0: parser refused all 4 granules opened: HDF4 backend derived a dimension-name list of the wrong length for the array's rank,—,—,—,,0,0,no granule opened,no granule opened,not measured (parser bypasses the instrumented reader),no granule opened,no granule opened,no granule opened,,,,,0,4,4,HDF4 backend derived a dimension-name list of the wrong length for the array's rank
F,Aqua/MODIS+CERES,CER_SSF1deg-Day_Aqua-MODIS,L3,HDF4,NASA/LARC/SD/ASDC,us-west-2,—,—,—,—,—,NaN,278,NaN,no,H0: parser refused all 3 granules opened: HDF4 backend failed decoding a vgroup name as UTF-8,—,—,—,,0,0,no granule opened,no granule opened,not measured (parser bypasses the instrumented reader),no granule opened,no granule opened,no granule opened,,,,,0,4,4,"HDF4 backend failed decoding a vgroup name as UTF-8; probe limit, not a data property — granule is 897 MB; above the 839 MB copy-to-disk limit for kerchunk-backed parsers"
F,CALIPSO/CALIOP,CAL_LID_L1-Standard-V4-51,L1B,HDF4,NASA/LARC/SD/ASDC,us-west-2,—,—,—,—,—,NaN,162326,NaN,no,H0: parser refused all 4 granules opened: HDF4 backend failed decoding a vgroup name as UTF-8,—,—,—,,0,0,no granule opened,no granule opened,not measured (parser bypasses the instrumented reader),no granule opened,no granule opened,no granule opened,"#ZD, #ZN",,day and night granules are both part of the record,,0,4,4,HDF4 backend failed decoding a vgroup name as UTF-8
F,GRACE-FO,GRACEFO_L2_JPL_MONTHLY_0063,L2,ASCII,NASA/JPL/PODAAC,us-west-2,—,—,—,—,—,NaN,576,NaN,no,H0: parser refused all 4 granules opened: no VirtualiZarr parser reads ASCII,—,—,—,,0,0,no granule opened,no granule opened,not measured (parser bypasses the instrumented reader),no granule opened,no granule opened,no granule opened,,"the GSM gravity-field product, solution BA01",,,0,4,4,no VirtualiZarr parser reads ASCII
F,ICESat-2/ATLAS,ATL11,L3,HDF5,NASA NSIDC DAAC,us-west-2,no,—,—,—,—,NaN,8105,NaN,no,H0: parser refused all 4 granules opened: file attaches several dimension scales to one axis; a Zarr array names each axis once,—,—,—,,0,0,no granule opened,no granule opened,"median 18 blocks in 3 runs, 12% leading; index still unread when abandoned",no granule opened,no granule opened,no granule opened,,,,,0,4,4,file attaches several dimension scales to one axis; a Zarr array names each axis once
F,Shuttle/SRTM,SRTMGL1,L3,HGT,LP DAAC,us-west-2,—,—,—,—,—,NaN,14297,NaN,no,H0: parser refused all 1 granules opened: no VirtualiZarr parser reads HGT,—,—,—,,0,0,no granule opened,no granule opened,not measured (parser bypasses the instrumented reader),no granule opened,no granule opened,no granule opened,,the 1° tile at 0°N 13°E,,,0,1,1,no VirtualiZarr parser reads HGT
F,Suomi-NPP/VIIRS,VNP09GA,L2G,HDF-EOS5,LP DAAC,us-west-2,no,—,—,—,—,NaN,1999495,NaN,yes,H0: parser refused all 4 granules opened: file stores a string _FillValue on a numeric variable; Zarr requires a number,—,—,—,,0,0,no granule opened,no granule opened,"median 4 blocks in 4 runs, 29% leading; index still unread when abandoned",no granule opened,no granule opened,no granule opened,,sinusoidal tile h08v05,,,0,4,4,file stores a string _FillValue on a numeric variable; Zarr requires a number
F,Terra/MISR,MIL2TCST,L2,HDF-EOS2,NASA/LARC/SD/ASDC,us-west-2,—,no,—,no,—,NaN,176026,12.247,no,"H0: parser accepted all 4 granules but returned a store with no arrays, so no chunk manifest can be written",—,—,—,,0,0,no data array appears in two opened granules,no data array appears in two opened granules,not measured (parser bypasses the instrumented reader),"swath geometry: no projected grid, geolocation is a per-pixel array",no data array recorded,file declares no dimension names,"F06, F07, F08",orbital path 020,the three product versions are all part of the record; the orbital path is pinned,A/D,4,4,4,
F,Terra/MODIS,MOD09GA,L2G,HDF-EOS2,LP DAAC,us-west-2,—,—,—,—,—,NaN,3071812,NaN,no,H0: parser refused all 4 granules opened: HDF4 backend cannot read the HDF-EOS2 vgroup holding the data-block references,—,—,—,,0,0,no granule opened,no granule opened,not measured (parser bypasses the instrumented reader),no granule opened,no granule opened,no granule opened,,sinusoidal tile h08v05,,,0,4,4,HDF4 backend cannot read the HDF-EOS2 vgroup holding the data-block references
F,Terra/MODIS,MOD35_L2,L2,HDF-EOS,NASA/GSFC/SED/ESD/HBSL/BISB/LAADS,us-west-2,—,—,—,—,—,NaN,2756851,NaN,no,H0: parser refused all 4 granules opened: HDF4 backend derived a dimension-name list of the wrong length for the array's rank,—,—,—,,0,0,no granule opened,no granule opened,not measured (parser bypasses the instrumented reader),no granule opened,no granule opened,no granule opened,,,,,0,4,4,HDF4 backend derived a dimension-name list of the wrong length for the array's rank
U,MERRA-2 (model),M2I3NPASM,L4,NetCDF,NASA/GSFC/SED/ESD/TISL/GESDISC,us-west-2,no,—,—,—,—,NaN,17015,NaN,yes,"H0: no granule's layout was read: 1 of 4 exhausted the probe budget, 3 not attempted; nothing refused the file itself",—,—,—,,0,0,no granule opened,no granule opened,"median 197 blocks in 11 runs, 26% leading; index still unread when abandoned",no granule opened,no granule opened,no granule opened,,,,,0,1,4,chunk index could not be read within the probe budget — exceeded the 480 s probe budget for one granule; not attempted: an earlier granule exhausted the probe budget
U,MERRA-2 (model),M2T1NXSLV,L4,NetCDF,NASA/GSFC/SED/ESD/TISL/GESDISC,us-west-2,no,—,—,—,—,NaN,17015,NaN,yes,"H0: no granule's layout was read: 1 of 4 exhausted the probe budget, 3 not attempted; nothing refused the file itself",—,—,—,,0,0,no granule opened,no granule opened,"median 197 blocks in 22 runs, 8% leading; index still unread when abandoned",no granule opened,no granule opened,no granule opened,,,,,0,1,4,chunk index could not be read within the probe budget — exceeded the 480 s probe budget for one granule; not attempted: an earlier granule exhausted the probe budget
